Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771608240369,3228,3228,3228,3228,3228,3228,3228,3228,70.76065063476563,69.0061264038086,71.89096069335938,74.16991424560547,72.7168960571289,68.93135833740234,73.56416320800781,71.44921112060547,74.14519500732422,68.38401794433594,100,100,50,0,0,0,0,0,36.7252311706543,17179869184,3221225472,12256149504,2586902528
203,1771608240369,3228,3228,3228,3228,3228,3228,3228,3228,70.76065063476563,69.0061264038086,71.89096069335938,74.16991424560547,72.7168960571289,68.93135833740234,73.56416320800781,71.44921112060547,74.14519500732422,68.38401794433594,100,100,NaN,100,0,NaN,100,0,36.7252311706543,17179869184,3221225472,12256149504,2586902528
203,1771608240572,3228,3228,3228,3228,3228,3228,3228,3228,70.76065063476563,69.0061264038086,71.89096069335938,74.16991424560547,72.7168960571289,68.93135833740234,73.56416320800781,71.44921112060547,74.14519500732422,68.38401794433594,100,100,33.333335876464844,52.6315803527832,23.809524536132813,15.000000953674316,0,4.761904716491699,36.7252311706543,17179869184,3221225472,12256149504,2586902528
200,1771608240776,3228,3228,3228,3228,3228,3228,3228,3228,70.76065063476563,69.0061264038086,71.89096069335938,74.16991424560547,72.7168960571289,68.93135833740234,73.56416320800781,71.44921112060547,74.14519500732422,68.38401794433594,100,100,36.842105865478516,40,20,19.047618865966797,5,0,36.7252311706543,17179869184,3221225472,12256149504,2586902528
203,1771608240976,3228,3228,3228,3228,3228,3228,3228,3228,69.48562622070313,66.56031036376953,70.52485656738281,72.52401733398438,70.99977111816406,66.78166198730469,69.558349609375,67.43567657470703,70.17060852050781,65.38243103027344,100,100,65,65,57.894737243652344,73.68421173095703,57.894737243652344,52.6315803527832,36.7252311706543,17179869184,3221225472,12144443392,2586902528
203,1771608241180,3228,3228,3228,3228,3228,3228,3228,3228,69.48562622070313,66.56031036376953,70.52485656738281,72.52401733398438,70.99977111816406,66.78166198730469,69.558349609375,67.43567657470703,70.17060852050781,65.38243103027344,100,100,47.619049072265625,33.333335876464844,23.809524536132813,33.333335876464844,18.18181800842285,14.285715103149414,36.7252311706543,17179869184,3221225472,12097028096,2586902528
201,1771608241383,3228,3228,3228,3228,3228,3228,3228,3228,69.48562622070313,66.56031036376953,70.52485656738281,72.52401733398438,70.99977111816406,66.78166198730469,69.558349609375,67.43567657470703,70.17060852050781,65.38243103027344,100,100,47.36842346191406,35,21.052631378173828,47.619049072265625,31.57894515991211,15.789472579956055,19.111679077148438,17179869184,3221225472,11847319552,2586902528
199,1771608241584,3228,3228,3228,3228,3228,3228,3228,3228,69.48562622070313,66.56031036376953,70.52485656738281,72.52401733398438,70.99977111816406,66.78166198730469,69.558349609375,67.43567657470703,70.17060852050781,65.38243103027344,100,100,40,40,28.571430206298828,10.526315689086914,9.523809432983398,9.090909004211426,19.111679077148438,17179869184,3221225472,11767808000,2586902528
203,1771608241785,3228,3228,3228,3228,3228,3228,3228,3228,71.3421630859375,68.88813781738281,73.56783294677734,76.05684661865234,73.72845458984375,68.62335968017578,73.75106811523438,71.47201538085938,72.52861022949219,66.97185516357422,100,100,47.36842346191406,50,30.000001907348633,20,5.263157844543457,0,19.111679077148438,17179869184,3221225472,11621564416,2586902528
200,1771608241989,3228,3228,3228,3228,3228,3228,3228,3228,71.3421630859375,68.88813781738281,73.56783294677734,76.05684661865234,73.72845458984375,68.62335968017578,73.75106811523438,71.47201538085938,72.52861022949219,66.97185516357422,100,100,42.105262756347656,38.88888931274414,25,10,9.090909004211426,0,19.111679077148438,17179869184,3221225472,12103401472,2586902528
