Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771970893621,3228,3228,3228,3228,3228,3228,3228,3228,60.49054718017578,56.83957290649414,57.85944366455078,59.452239990234375,59.09154510498047,57.46022033691406,59.34321975708008,57.69084548950195,61.766780853271484,57.03910827636719,NaN,NaN,50,0,50,0,0,0,5.446723937988281,17179869184,0,10872569856,0
200,1771970893622,3228,3228,3228,3228,3228,3228,3228,3228,60.49054718017578,56.83957290649414,57.85944366455078,59.452239990234375,59.09154510498047,57.46022033691406,59.34321975708008,57.69084548950195,61.766780853271484,57.03910827636719,100,66.66667175292969,0,0,0,0,100,50,5.446723937988281,17179869184,0,10875076608,0
204,1771970893823,3228,3228,3228,3228,3228,3228,3228,3228,61.11045455932617,56.77507019042969,58.94422149658203,60.73613739013672,59.84709930419922,57.796688079833984,59.520687103271484,58.011138916015625,61.67346954345703,56.91926574707031,73.68421173095703,78.94737243652344,25,60.000003814697266,15.000000953674316,0,0,0,5.446723937988281,17179869184,0,10902241280,0
200,1771970894028,3228,3228,3228,3228,3228,3228,3228,3228,61.11045455932617,56.77507019042969,58.94422149658203,60.73613739013672,59.84709930419922,57.796688079833984,59.520687103271484,58.011138916015625,61.67346954345703,56.91926574707031,57.142860412597656,55,15.789472579956055,25,0,4.761904716491699,4.761904716491699,0,5.446723937988281,17179869184,0,11102289920,0
203,1771970894228,3228,3228,3228,3228,3228,3228,3228,3228,61.11045455932617,56.77507019042969,58.94422149658203,60.73613739013672,59.84709930419922,57.796688079833984,59.520687103271484,58.011138916015625,61.67346954345703,56.91926574707031,75,80,19.047618865966797,30.000001907348633,9.523809432983398,10,0,0,5.580837726593018,17179869184,0,11327111168,0
203,1771970894432,3228,3228,3228,3228,3228,3228,3228,3228,61.11045455932617,56.77507019042969,58.94422149658203,60.73613739013672,59.84709930419922,57.796688079833984,59.520687103271484,58.011138916015625,61.67346954345703,56.91926574707031,66.66667175292969,66.66667175292969,5.263157844543457,25,4.761904716491699,4.545454502105713,0,0,5.580837726593018,17179869184,0,11551948800,0
206,1771970894636,3228,3228,3228,3228,3228,3228,3228,3228,61.11045455932617,56.77507019042969,58.94422149658203,60.73613739013672,59.84709930419922,57.796688079833984,59.520687103271484,58.011138916015625,61.67346954345703,56.91926574707031,100,100,20,28.571430206298828,0,0,0,0,5.580837726593018,17179869184,0,11551948800,0
205,1771970894843,3228,3228,3228,3228,3228,3228,3228,3228,63.7580680847168,57.924869537353516,65.2536392211914,67.43742370605469,62.469825744628906,59.47312545776367,61.240421295166016,60.209312438964844,62.910404205322266,58.154579162597656,90,90,47.619049072265625,40,33.333335876464844,25,10,4.761904716491699,5.580837726593018,17179869184,0,11551948800,0
208,1771970895049,3228,3228,3228,3228,3228,3228,3228,3228,63.7580680847168,57.924869537353516,65.2536392211914,67.43742370605469,62.469825744628906,59.47312545776367,61.240421295166016,60.209312438964844,62.910404205322266,58.154579162597656,90.90909576416016,90.90909576416016,45,55,28.571430206298828,30.000001907348633,18.18181800842285,14.285715103149414,5.580837726593018,17179869184,0,11551948800,0
200,1771970895258,3228,3228,3228,3228,3228,3228,3228,3228,63.7580680847168,57.924869537353516,65.2536392211914,67.43742370605469,62.469825744628906,59.47312545776367,61.240421295166016,60.209312438964844,62.910404205322266,58.154579162597656,85.71428680419922,90,38.095237731933594,14.285715103149414,9.523809432983398,4.761904716491699,0,0,12.502613067626953,17179869184,0,13270515712,0
