Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771921036277,3228,3228,3228,3228,3228,3228,3228,3228,56.60043716430664,53.228668212890625,54.180763244628906,56.76921844482422,55.91246795654297,54.5085334777832,56.57215118408203,53.926578521728516,58.42570877075195,53.79389190673828,50,50,0,0,50,0,0,0,8.006791114807129,17179869184,0,10125574144,0
201,1771921036277,3228,3228,3228,3228,3228,3228,3228,3228,56.60043716430664,53.228668212890625,54.180763244628906,56.76921844482422,55.91246795654297,54.5085334777832,56.57215118408203,53.926578521728516,58.42570877075195,53.79389190673828,50,0,0,100,0,0,0,0,8.006791114807129,17179869184,0,10125672448,0
205,1771921036478,3228,3228,3228,3228,3228,3228,3228,3228,56.60043716430664,53.228668212890625,54.180763244628906,56.76921844482422,55.91246795654297,54.5085334777832,56.57215118408203,53.926578521728516,58.42570877075195,53.79389190673828,21.052631378173828,15.000000953674316,25,55,15.000000953674316,14.285715103149414,0,5,7.903749465942383,17179869184,0,10170056704,0
205,1771921036684,3228,3228,3228,3228,3228,3228,3228,3228,56.60043716430664,53.228668212890625,54.180763244628906,56.76921844482422,55.91246795654297,54.5085334777832,56.57215118408203,53.926578521728516,58.42570877075195,53.79389190673828,80,75,55,42.85714340209961,42.85714340209961,36.842105865478516,23.809524536132813,19.047618865966797,7.903749465942383,17179869184,0,10247503872,0
209,1771921036889,3228,3228,3228,3228,3228,3228,3228,3228,59.328651428222656,54.94822692871094,59.29773712158203,61.84849548339844,59.51097106933594,56.37739562988281,59.035308837890625,56.557220458984375,59.803836822509766,54.6845703125,76.19047546386719,76.19047546386719,57.142860412597656,50,40,33.333335876464844,15.000000953674316,14.285715103149414,7.903749465942383,17179869184,0,10667016192,0
199,1771921037098,3228,3228,3228,3228,3228,3228,3228,3228,59.328651428222656,54.94822692871094,59.29773712158203,61.84849548339844,59.51097106933594,56.37739562988281,59.035308837890625,56.557220458984375,59.803836822509766,54.6845703125,15.000000953674316,20,10,25,4.761904716491699,4.545454502105713,0,0,7.903749465942383,17179869184,0,11143823360,0
202,1771921037298,3228,3228,3228,3228,3228,3228,3228,3228,59.328651428222656,54.94822692871094,59.29773712158203,61.84849548339844,59.51097106933594,56.37739562988281,59.035308837890625,56.557220458984375,59.803836822509766,54.6845703125,52.38095474243164,60.000003814697266,38.095237731933594,36.842105865478516,25,26.3157901763916,25,23.809524536132813,7.903749465942383,17179869184,0,11582488576,0
200,1771921037501,3228,3228,3228,3228,3228,3228,3228,3228,59.328651428222656,54.94822692871094,59.29773712158203,61.84849548339844,59.51097106933594,56.37739562988281,59.035308837890625,56.557220458984375,59.803836822509766,54.6845703125,65,71.42857360839844,21.052631378173828,27.272727966308594,10,0,0,0,10.659690856933594,17179869184,0,11871272960,0
201,1771921037702,3228,3228,3228,3228,3228,3228,3228,3228,59.328651428222656,54.94822692871094,59.29773712158203,61.84849548339844,59.51097106933594,56.37739562988281,59.035308837890625,56.557220458984375,59.803836822509766,54.6845703125,80,80,31.57894515991211,31.57894515991211,23.809524536132813,15.000000953674316,5,5.263157844543457,10.659690856933594,17179869184,0,11871272960,0
202,1771921037903,3228,3228,3228,3228,3228,3228,3228,3228,60.606956481933594,56.35062789916992,61.766448974609375,64.40229034423828,60.364723205566406,58.06147766113281,60.19601821899414,57.970333099365234,61.027992248535156,56.31610870361328,75,75,9.523809432983398,5,5,5,0,0,10.659690856933594,17179869184,0,11904303104,0
209,1771921038106,3228,3228,3228,3228,3228,3228,3228,3228,60.606956481933594,56.35062789916992,61.766448974609375,64.40229034423828,60.364723205566406,58.06147766113281,60.19601821899414,57.970333099365234,61.027992248535156,56.31610870361328,75,61.904762268066406,10,5,0,0,0,0,10.659690856933594,17179869184,0,11904516096,0
204,1771921038316,3228,3228,3228,3228,3228,3228,3228,3228,60.606956481933594,56.35062789916992,61.766448974609375,64.40229034423828,60.364723205566406,58.06147766113281,60.19601821899414,57.970333099365234,61.027992248535156,56.31610870361328,61.904762268066406,73.68421173095703,9.090909004211426,4.761904716491699,0,0,0,0,23.142934799194336,17179869184,0,11900125184,0
200,1771921038520,3228,3228,3228,3228,3228,3228,3228,3228,60.606956481933594,56.35062789916992,61.766448974609375,64.40229034423828,60.364723205566406,58.06147766113281,60.19601821899414,57.970333099365234,61.027992248535156,56.31610870361328,90,90.47618865966797,45,30.000001907348633,23.809524536132813,10,14.285715103149414,9.523809432983398,23.142934799194336,17179869184,0,11865407488,0
202,1771921038721,3228,3228,3228,3228,3228,3228,3228,3228,60.606956481933594,56.35062789916992,61.766448974609375,64.40229034423828,60.364723205566406,58.06147766113281,60.19601821899414,57.970333099365234,61.027992248535156,56.31610870361328,95,95,15.789472579956055,9.523809432983398,0,9.523809432983398,4.761904716491699,0,23.142934799194336,17179869184,0,11900141568,0
200,1771921038923,3228,3228,3228,3228,3228,3228,3228,3228,60.523529052734375,56.38480758666992,60.30681610107422,62.391117095947266,59.09723663330078,57.46328353881836,61.65689468383789,58.90818405151367,61.12714767456055,56.36603546142578,85,84.21052551269531,25,15.789472579956055,15.000000953674316,0,0,0,23.142934799194336,17179869184,0,11906613248,0
207,1771921039123,3228,3228,3228,3228,3228,3228,3228,3228,60.523529052734375,56.38480758666992,60.30681610107422,62.391117095947266,59.09723663330078,57.46328353881836,61.65689468383789,58.90818405151367,61.12714767456055,56.36603546142578,89.47368621826172,80,9.523809432983398,4.761904716491699,0,0,0,0,23.142934799194336,17179869184,0,11904942080,0
209,1771921039331,3228,3228,3228,3228,3228,3228,3228,3228,60.523529052734375,56.38480758666992,60.30681610107422,62.391117095947266,59.09723663330078,57.46328353881836,61.65689468383789,58.90818405151367,61.12714767456055,56.36603546142578,85,90,0,4.761904716491699,0,0,0,0,33.91764831542969,17179869184,0,11907792896,0
