Model_Name,Trial_Number,Total_Joules,Total_Execution_Time_Sec
Llama-3.2-3B-Instruct-Q4_K_M,1,14805.032389942216,378.99045
Phi-3-mini-4k-instruct-q4,1,105415.75738622341,2245.4866
qwen2.5-3b-instruct-q4_k_m,1,15555.263435308443,219.64449
Llama-3.2-3B-Instruct-Q4_K_M,2,14290.569424078954,377.36697
Phi-3-mini-4k-instruct-q4,2,149336.56549231574,5456.532
Llama-3.2-3B-Instruct-Q4_K_M,3,14845.341945604792,380.96152
Llama-3.2-3B-Instruct-Q4_K_M,3,27765.178256664316,608.684
qwen2.5-3b-instruct-q4_k_m,2,9070.82987052059,220.54431
Phi-3-mini-4k-instruct-q4,3,104244.47305828833,2259.1292
qwen2.5-3b-instruct-q4_k_m,3,8829.940691597958,217.04237
Llama-3.2-3B-Instruct-Q4_K_M,4,16183.790557703025,380.48697
Phi-3-mini-4k-instruct-q4,4,103759.0510414565,2268.915
qwen2.5-3b-instruct-q4_k_m,4,9364.87061947917,221.20033
Llama-3.2-3B-Instruct-Q4_K_M,5,15255.763335193655,388.61862
Phi-3-mini-4k-instruct-q4,5,98817.75863622234,2334.551
qwen2.5-3b-instruct-q4_k_m,5,8474.319345848078,229.28561
Llama-3.2-3B-Instruct-Q4_K_M,6,16003.422143922782,408.64853
Phi-3-mini-4k-instruct-q4,6,98471.03362247765,2386.1172
qwen2.5-3b-instruct-q4_k_m,6,8327.652992470752,229.14847
Llama-3.2-3B-Instruct-Q4_K_M,7,15606.240695652914,409.36905
Phi-3-mini-4k-instruct-q4,7,97783.03170738618,2387.7546
qwen2.5-3b-instruct-q4_k_m,7,8386.95900177814,234.13771
Llama-3.2-3B-Instruct-Q4_K_M,8,15505.736107849563,402.33307
Phi-3-mini-4k-instruct-q4,8,98978.48089693679,2429.1736
qwen2.5-3b-instruct-q4_k_m,8,8356.856648323997,229.81987
Llama-3.2-3B-Instruct-Q4_K_M,9,16012.805516537197,418.46683
Phi-3-mini-4k-instruct-q4,9,98004.44398418757,2387.5742
qwen2.5-3b-instruct-q4_k_m,9,8364.77951301193,234.08705
Llama-3.2-3B-Instruct-Q4_K_M,10,16276.88348982859,419.2564
Phi-3-mini-4k-instruct-q4,10,94217.84865768741,2312.5313
qwen2.5-3b-instruct-q4_k_m,10,8319.670894650933,229.45361
Llama-3.2-3B-Instruct-Q4_K_M,11,16394.550098311454,426.81952
Phi-3-mini-4k-instruct-q4,11,97771.87767624465,2389.1218
qwen2.5-3b-instruct-q4_k_m,11,8354.836802081583,234.13736
Llama-3.2-3B-Instruct-Q4_K_M,12,16319.670068588257,418.58932
Phi-3-mini-4k-instruct-q4,12,98364.77640656302,2428.549
qwen2.5-3b-instruct-q4_k_m,12,8296.821970649715,229.43678
Llama-3.2-3B-Instruct-Q4_K_M,13,16417.487223031043,426.09842
Phi-3-mini-4k-instruct-q4,13,97822.29976669647,2388.4126
qwen2.5-3b-instruct-q4_k_m,13,8356.375730811109,234.20172
Llama-3.2-3B-Instruct-Q4_K_M,14,16265.232369411026,418.9756
Phi-3-mini-4k-instruct-q4,14,98409.92152690991,2424.9448
qwen2.5-3b-instruct-q4_k_m,14,8296.70389008378,229.53569
Llama-3.2-3B-Instruct-Q4_K_M,15,16443.921094267356,425.92172
Phi-3-mini-4k-instruct-q4,15,97816.22438088505,2389.4668
qwen2.5-3b-instruct-q4_k_m,15,8357.815328781122,233.82982
Llama-3.2-3B-Instruct-Q4_K_M,16,16309.590265727036,419.11276
Phi-3-mini-4k-instruct-q4,16,99004.26969912989,2422.7837
qwen2.5-3b-instruct-q4_k_m,16,7687.957393414972,217.52917
Llama-3.2-3B-Instruct-Q4_K_M,17,15146.385112707098,396.32855
Phi-3-mini-4k-instruct-q4,17,90588.02141774698,2249.667
qwen2.5-3b-instruct-q4_k_m,17,7921.304620400909,217.43459
Llama-3.2-3B-Instruct-Q4_K_M,18,15263.773114376057,396.45645
Phi-3-mini-4k-instruct-q4,18,91538.17205856797,2246.7446
qwen2.5-3b-instruct-q4_k_m,18,7595.741276696207,217.7452
Llama-3.2-3B-Instruct-Q4_K_M,19,15113.265835562732,401.59772
Phi-3-mini-4k-instruct-q4,19,90690.2414566681,2253.2104
qwen2.5-3b-instruct-q4_k_m,19,7571.919451063155,218.21225
Llama-3.2-3B-Instruct-Q4_K_M,20,15131.30323013571,397.7853
Phi-3-mini-4k-instruct-q4,20,90831.85460685266,2253.6973
qwen2.5-3b-instruct-q4_k_m,20,7718.746964879042,218.59454
